,movies_titles,movies_links,budget,synopsis,country,directeur,scenaristes,vedettes,titres,rating
62,WALL·E,https://www.imdb.com//title/tt0910970/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_62,180000000,"In a distant, but not so unrealistic, future where mankind has abandoned earth because it has become covered with trash from products sold by the powerful multi-national Buy N Large corporation, WALL-E, a garbage collecting robot has been left to clean up the mess. Mesmerized with trinkets of Earth's history and show tunes, WALL-E is alone on Earth except for a sprightly pet cockroach. One day, EVE, a sleek (and dangerous) reconnaissance robot, is sent to Earth to find proof that life is once again sustainable. WALL-E falls in love with EVE. WALL-E rescues EVE from a dust storm and shows her a living plant he found amongst the rubble. Consistent with her ""directive"", EVE takes the plant and automatically enters a deactivated state except for a blinking green beacon. WALL-E, doesn't understand what has happened to his new friend, but, true to his love, he protects her from wind, rain, and lightning, even as she is unresponsive. One day a massive ship comes to reclaim EVE, but WALL-E, ...",['USA'],['Andrew Stanton '],"['Andrew Stanton (original story by)', ' Pete Docter (original story by)            |']","['Ben Burtt', ' Elissa Knight', ' Jeff Garlin |']","['Ben Burtt', ' Elissa Knight', ' Jeff Garlin |']","8,4"
63,Avengers: Infinity War,https://www.imdb.com//title/tt4154756/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_63,321000000,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment, the fate of Earth and existence has never been more uncertain.",['USA'],"['Anthony Russo', ' Joe Russo ']","['Christopher Markus (screenplay by)', ' Stephen McFeely (screenplay by)            |']","['Robert Downey Jr.', ' Chris Hemsworth', ' Mark Ruffalo |']","['Robert Downey Jr.', ' Chris Hemsworth', ' Mark Ruffalo |']","8,4"
64,Boulevard du Crépuscule,https://www.imdb.com//title/tt0043014/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_64,1752000,"In Hollywood of the 50's, the obscure screenplay writer Joe Gillis is not able to sell his work to the studios, is full of debts and is thinking in returning to his hometown to work in an office. While trying to escape from his creditors, he has a flat tire and parks his car in a decadent mansion in Sunset Boulevard. He meets the owner and former silent-movie star Norma Desmond, who lives alone with her butler and driver Max Von Mayerling. Norma is demented and believes she will return to the cinema industry, and is protected and isolated from the world by Max, who was her director and husband in the past and still loves her. Norma proposes Joe to move to the mansion and help her in writing a screenplay for her comeback to the cinema, and the small-time writer becomes her lover and gigolo. When Joe falls in love for the young aspirant writer Betty Schaefer, Norma becomes jealous and completely insane and her madness leads to a tragic end.",['USA'],['Billy Wilder '],"['Charles Brackett', ' Billy Wilder |']","['William Holden', ' Gloria Swanson', ' Erich von Stroheim |']","['William Holden', ' Gloria Swanson', ' Erich von Stroheim |']","8,4"
65,Princesse Mononoké,https://www.imdb.com//title/tt0119698/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_65,2400000000,"While protecting his village from rampaging boar-god/demon, a confident young warrior, Ashitaka, is stricken by a deadly curse. To save his life, he must journey to the forests of the west. Once there, he's embroiled in a fierce campaign that humans were waging on the forest. The ambitious Lady Eboshi and her loyal clan use their guns against the gods of the forest and a brave young woman, Princess Mononoke, who was raised by a wolf-god. Ashitaka sees the good in both sides and tries to stem the flood of blood. This is met by animosity by both sides as they each see him as supporting the enemy.",['Japan'],['Hayao Miyazaki '],"['Hayao Miyazaki', ' Neil Gaiman (adapted by: English version)    ']","['Yôji Matsuda', ' Yuriko Ishida', ' Yûko Tanaka |']","['Yôji Matsuda', ' Yuriko Ishida', ' Yûko Tanaka |']","8,4"
66,Spider-Man: New Generation,https://www.imdb.com//title/tt4633694/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_66,90000000,"Miles Morales is a New York teen struggling with school, friends and, on top of that, being the new Spider-Man. When he comes across Peter Parker, the erstwhile saviour of New York, in the multiverse, Miles must train to become the new protector of his city.",['USA'],"['Bob Persichetti', ' Peter Ramsey |']","['Phil Lord (screenplay by)', ' Rodney Rothman (screenplay by)            |']","['Shameik Moore', ' Jake Johnson', ' Hailee Steinfeld |']","['Shameik Moore', ' Jake Johnson', ' Hailee Steinfeld |']","8,4"
67,"Docteur Folamour, ou: Comment j'ai appris à ne plus m'en faire et à aimer la bombe",https://www.imdb.com//title/tt0057012/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_67,1800000,"Paranoid Brigadier General Jack D. Ripper of Burpelson Air Force Base, believing that fluoridation of the American water supply is a Soviet plot to poison the U.S. populace, is able to deploy through a back door mechanism a nuclear attack on the Soviet Union without the knowledge of his superiors, including the Chair of the Joint Chiefs of Staff, General Buck Turgidson, and President Merkin Muffley. Only Ripper knows the code to recall the B-52 bombers and he has shut down communication in and out of Burpelson as a measure to protect this attack. Ripper's executive officer, RAF Group Captain Lionel Mandrake (on exchange from Britain), who is being held at Burpelson by Ripper, believes he knows the recall codes if he can only get a message to the outside world. Meanwhile at the Pentagon War Room, key persons including Muffley, Turgidson and nuclear scientist and adviser, a former Nazi named Dr. Strangelove, are discussing measures to stop the attack or mitigate its blow-up into an all ...","['UK', 'USA']",['Stanley Kubrick '],"['Stanley Kubrick (screenplay)', ' Terry Southern (screenplay)            |']","['Peter Sellers', ' George C. Scott', ' Sterling Hayden |']","['Peter Sellers', ' George C. Scott', ' Sterling Hayden |']","8,4"
68,Old Boy,https://www.imdb.com//title/tt0364569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_68,3000000,"Abducted on a rainy night in 1988, the obnoxious drunk, Oh Dae-Su, much to his surprise, wakes up locked in a windowless and dilapidated hotel room, for an unknown reason. There, his invisible and pitiless captors will feed him, clothe him, and sedate him to avert a desperate suicide--and as his only companion and a window to the world is the TV in his stark cell--the only thing that helps Oh Dae-Su keep going is his daily journal. Then, unexpectedly, after fifteen long years in captivity, the perplexed prisoner is deliberately released, encouraged to track down his tormentor to finally get his retribution. However, who would hate Oh Dae-Su so much he would deny him of a quick and clean death?",['South Korea'],['Chan-wook Park '],"['Garon Tsuchiya (story)', ' Nobuaki Minegishi (comic)            |']","['Min-sik Choi', ' Ji-Tae Yoo', ' Hye-jeong Kang |']","['Min-sik Choi', ' Ji-Tae Yoo', ' Hye-jeong Kang |']","8,4"
69,Témoin à charge,https://www.imdb.com//title/tt0051201/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_69,3000000,"Britain, 1953. Upon his return to work following a heart attack, barrister takes on a murder case,. The case is defending American war vet Leonard Vole, a poor, out of work, struggling inventor who's accused of murdering his middle-aged lonely and wealthy acquaintance, Emily French. The evidence is circumstantial but points to Leonard as the murderer, butr the csse has constant revelations.",['USA'],['Billy Wilder '],"[""Agatha Christie (in Agatha Christie's international stage success)"", ' Billy Wilder (screen play)            |']","['Tyrone Power', ' Marlene Dietrich', ' Charles Laughton |']","['Tyrone Power', ' Marlene Dietrich', ' Charles Laughton |']","8,3"
70,The Dark Knight Rises,https://www.imdb.com//title/tt1345836/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_70,250000000,"Despite his tarnished reputation after the events of The Dark Knight (2008), in which he took the rap for Dent's crimes, Batman feels compelled to intervene to assist the city and its Police force, which is struggling to cope with Bane's plans to destroy the city.","['UK', 'USA']",['Christopher Nolan '],"['Jonathan Nolan (screenplay)', ' Christopher Nolan (screenplay)            |']","['Christian Bale', ' Tom Hardy', ' Anne Hathaway |']","['Christian Bale', ' Tom Hardy', ' Anne Hathaway |']","8,3"
71,Il était une fois en Amérique,https://www.imdb.com//title/tt0087843/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_71,30000000,"Epic tale of a group of Jewish gangsters in New York, from childhood, through their glory years during prohibition, and their meeting again 35 years later.","['USA', 'Italy']",['Sergio Leone '],"['Harry Grey (novel)', ' Leonardo Benvenuti (screenplay)            |']","['Robert De Niro', ' James Woods', ' Elizabeth McGovern |']","['Robert De Niro', ' James Woods', ' Elizabeth McGovern |']","8,3"
72,Avengers: Endgame,https://www.imdb.com//title/tt4154796/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_72,356000000,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos's actions and undo the chaos to the universe, no matter what consequences may be in store, and no matter who they face...",['USA'],"['Anthony Russo', ' Joe Russo ']","['Christopher Markus (screenplay by)', ' Stephen McFeely (screenplay by)            |']","['Robert Downey Jr.', ' Chris Evans', ' Mark Ruffalo |']","['Robert Downey Jr.', ' Chris Evans', ' Mark Ruffalo |']","8,3"
73,Aliens - Le retour,https://www.imdb.com//title/tt0090605/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_73,18500000,"57 years after Ellen Ripley had a close encounter with the reptilian alien creature from the first movie, she is called back, this time, to help a group of highly trained colonial marines fight off against the sinister extraterrestrials. But this time, the aliens have taken over a space colony on the moon LV-426. When the colonial marines are called upon to search the deserted space colony, they later find out that they are up against more than what they bargained for. Using specially modified machine guns and enough firepower, it's either fight or die as the space marines battle against the aliens. As the Marines do their best to defend themselves, Ripley must attempt to protect a young girl who is the sole survivor of the decimated space colony.","['USA', 'UK']",['James Cameron '],"['James Cameron (story by)', ' David Giler (story by)            |']","['Sigourney Weaver', ' Michael Biehn', ' Carrie Henn |']","['Sigourney Weaver', ' Michael Biehn', ' Carrie Henn |']","8,3"
74,Your Name.,https://www.imdb.com//title/tt5311514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_74,370000000,Mitsuha is the daughter of the mayor of a small mountain town. She's a straightforward high school girl who lives with her sister and her grandmother and has no qualms about letting it be known that she's uninterested in Shinto rituals or helping her father's electoral campaign. Instead she dreams of leaving the boring town and trying her luck in Tokyo. Taki is a high school boy in Tokyo who works part-time in an Italian restaurant and aspires to become an architect or an artist. Every night he has a strange dream where he becomes...a high school girl in a small mountain town.,['Japan'],['Makoto Shinkai '],"['Makoto Shinkai (based on his novel)', ' Makoto Shinkai (screenplay)            |']","['Ryûnosuke Kamiki', ' Mone Kamishiraishi', ' Ryô Narita |']","['Ryûnosuke Kamiki', ' Mone Kamishiraishi', ' Ryô Narita |']","8,3"
75,Coco,https://www.imdb.com//title/tt2380307/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_75,175000000,"Despite his family's baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",['USA'],"['Lee Unkrich', ' Adrian Molina (co-director)    ']","['Lee Unkrich (original story by)', ' Jason Katz (original story by)            |']","['Anthony Gonzalez', ' Gael García Bernal', ' Benjamin Bratt |']","['Anthony Gonzalez', ' Gael García Bernal', ' Benjamin Bratt |']","8,3"
76,American Beauty,https://www.imdb.com//title/tt0169547/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_76,15000000,"After his death sometime in his forty-third year, suburbanite Lester Burnham tells of the last few weeks of his life, during which he had no idea of his imminent passing. He is a husband to real estate agent Carolyn Burnham and father to high school student Janie Burnham. Although Lester and Carolyn once loved each other, they now merely tolerate each other. Typical wallflower Janie too hates both her parents, the three who suffer individually in silence in their home life. Janie tries to steer clear of both her parents. Carolyn, relatively new to the real estate business, wants to create the persona of success to further her career, she aspiring to the professional life of Buddy Kane, the king of the real estate business in their neighborhood. Lester merely walks mindlessly through life, including at his job in advertising. His company is downsizing, and he, like all the other employees, has to justify his position to the newly hired efficiency expert to keep his job. Things change ...",['USA'],['Sam Mendes '],['Alan Ball '],"['Kevin Spacey', ' Annette Bening', ' Thora Birch |']","['Kevin Spacey', ' Annette Bening', ' Thora Birch |']","8,3"
77,Braveheart,https://www.imdb.com//title/tt0112573/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_77,72000000,"William Wallace is a Scottish rebel who leads an uprising against the cruel English ruler Edward the Longshanks, who wishes to inherit the crown of Scotland for himself. When he was a young boy, William Wallace's father and brother, along with many others, lost their lives trying to free Scotland. Once he loses another of his loved ones, William Wallace begins his long quest to make Scotland free once and for all, along with the assistance of Robert the Bruce.",['USA'],['Mel Gibson '],['Randall Wallace '],"['Mel Gibson', ' Sophie Marceau', ' Patrick McGoohan |']","['Mel Gibson', ' Sophie Marceau', ' Patrick McGoohan |']","8,3"
78,Le bateau,https://www.imdb.com//title/tt0082096/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_78,32000000,"It is 1942 and the German submarine fleet is heavily engaged in the so-called ""Battle of the Atlantic"" to harass and destroy British shipping. With better escorts of the destroyer class, however, German U-boats have begun to take heavy losses. ""Das Boot"" is the story of the crew of one such U-Boat, with the film examining how these submariners maintained their professionalism as soldiers and attempted to accomplish impossible missions, all the while attempting to understand and obey the ideology of the government under which they served.",['West Germany'],['Wolfgang Petersen '],"['Wolfgang Petersen (screenplay)', ' Lothar G. Buchheim (novel)    ']","['Jürgen Prochnow', ' Herbert Grönemeyer', ' Klaus Wennemann |']","['Jürgen Prochnow', ' Herbert Grönemeyer', ' Klaus Wennemann |']","8,3"
79,3 Idiots,https://www.imdb.com//title/tt1187043/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_79,550000000,"Farhan Qureshi and Raju Rastogi want to re-unite with their fellow collegian, Rancho, after faking a stroke aboard an Air India plane, and excusing himself from his wife - trouser less - respectively. Enroute, they encounter another student, Chatur Ramalingam, now a successful businessman, who reminds them of a bet they had undertaken 10 years ago. The trio, while recollecting hilarious antics, including their run-ins with the Dean of Delhi's Imperial College of Engineering, Viru Sahastrabudhe, race to locate Rancho, at his last known address - little knowing the secret that was kept from them all this time.",['India'],['Rajkumar Hirani '],"['Rajkumar Hirani (screenplay)', ' Abhijat Joshi (screenplay)            |']","['Aamir Khan', ' Madhavan', ' Mona Singh |']","['Aamir Khan', ' Madhavan', ' Mona Singh |']","8,3"
80,Toy Story,https://www.imdb.com//title/tt0114709/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_80,30000000,"A little boy named Andy loves to be in his room, playing with his toys, especially his doll named ""Woody"". But, what do the toys do when Andy is not with them, they come to life. Woody believes that his life (as a toy) is good. However, he must worry about Andy's family moving, and what Woody does not know is about Andy's birthday party. Woody does not realize that Andy's mother gave him an action figure known as Buzz Lightyear, who does not believe that he is a toy, and quickly becomes Andy's new favorite toy. Woody, who is now consumed with jealousy, tries to get rid of Buzz. Then, both Woody and Buzz are now lost. They must find a way to get back to Andy before he moves without them, but they will have to pass through a ruthless toy killer, Sid Phillips.",['USA'],['John Lasseter '],"['John Lasseter (original story by)', ' Pete Docter (original story by)            |']","['Tom Hanks', ' Tim Allen', ' Don Rickles |']","['Tom Hanks', ' Tim Allen', ' Don Rickles |']","8,3"
81,Entre le ciel et l'enfer,https://www.imdb.com//title/tt0057565/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_81,0,"A wealthy businessman is told his son has been kidnapped and he will have to pay a very large sum for him to be returned safely. It is then discovered that his son is safe at home: the kidnapper took his chauffeur's son by accident. The kidnapper says this makes no difference: pay up or the child dies. This leaves him with a moral dilemma, as he really needs the money to conclude a very important business deal.",['Japan'],['Akira Kurosawa '],"['Hideo Oguni (screenplay)', ' Ryûzô Kikushima (screenplay)            |']","['Toshirô Mifune', ' Yutaka Sada', ' Tatsuya Nakadai |']","['Toshirô Mifune', ' Yutaka Sada', ' Tatsuya Nakadai |']","8,3"
82,Taare Zameen Par,https://www.imdb.com//title/tt0986264/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_82,0,"Ishaan Awasthi is an eight-year-old child whose world is filled with wonders that no one else seems to appreciate; colours, fish, dogs and kites are just not important in the world of adults, who are much more interested in things like homework, marks and neatness. And Ishaan just cannot seem to get anything right in class. When he gets into far more trouble than his parents can handle, he is packed off to a boarding school to 'be disciplined'. Things are no different at his new school, and Ishaan has to contend with the added trauma of separation from his family. One day a new art teacher bursts onto the scene, Ram Shankar Nikumbh, who infects the students with joy and optimism. He breaks all the rules of 'how things are done' by asking them to think, dream and imagine, and all the children respond with enthusiasm, all except Ishaan. Nikumbh soon realizes that Ishaan is very unhappy, and he sets out to discover why. With time, patience and care, he ultimately helps Ishaan find ...",['India'],"['Aamir Khan', ' Amole Gupte (uncredited)    ']","['Amole Gupte (dialogue & screenplay)', ' Amole Gupte (story)    ']","['Darsheel Safary', ' Aamir Khan', ' Tisca Chopra |']","['Darsheel Safary', ' Aamir Khan', ' Tisca Chopra |']","8,3"
83,Amadeus,https://www.imdb.com//title/tt0086879/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_83,18000000,"Antonio Salieri believes that Wolfgang Amadeus Mozart's music is divine and miraculous. He wishes he was himself as good a musician as Mozart so that he can praise the Lord through composing. He began his career as a devout man who believes his success and talent as a composer are God's rewards for his piety. He's also content as the respected, financially well-off, court composer of Austrian Emperor Joseph II. But he's shocked to learn that Mozart is such a vulgar creature, and can't understand why God favored Mozart to be his instrument. Salieri's envy has made him an enemy of God whose greatness was evident in Mozart. He is ready to take revenge against God and Mozart for his own musical mediocrity.","['USA', 'France', 'Czechoslovakia', 'Italy']",['Milos Forman '],"['Peter Shaffer (original stage play)', ' Peter Shaffer (original screenplay)    ']","['F. Murray Abraham', ' Tom Hulce', ' Elizabeth Berridge |']","['F. Murray Abraham', ' Tom Hulce', ' Elizabeth Berridge |']","8,3"
84,Le retour du Jedi,https://www.imdb.com//title/tt0086190/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_84,32500000,"Luke Skywalker battles Jabba the Hutt and Darth Vader to save his comrades in the Rebel Alliance and triumph over the Galactic Empire. Han Solo and Princess Leia reaffirm their love, and team with Chewbacca, Lando Calrissian, the Ewoks, and droids C-3PO and R2-D2 to aid in the disruption of the Dark Side, and the defeat of the evil emperor.",['USA'],['Richard Marquand '],"['Lawrence Kasdan (screenplay by)', ' George Lucas (screenplay by)            |']","['Mark Hamill', ' Harrison Ford', ' Carrie Fisher |']","['Mark Hamill', ' Harrison Ford', ' Carrie Fisher |']","8,3"
85,Reservoir Dogs,https://www.imdb.com//title/tt0105236/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_85,1200000,"Six criminals, who are strangers to each other, are hired by a crime boss, Joe Cabot, to carry out a diamond robbery. Right at the outset, they are given false names with the intention that they won't get too close and will concentrate on the job instead. They are completely sure that the robbery is going to be a success. But, when the police show up right at the time and the site of the robbery, panic spreads amongst the group members, and two of them are killed in the subsequent shootout, along with a few policemen and civilians. When the remaining people assemble at the premeditated rendezvous point (a warehouse), they begin to suspect that one of them is an undercover cop.",['USA'],['Quentin Tarantino '],"['Quentin Tarantino', ' Quentin Tarantino (background radio dialogue written by)            |']","['Harvey Keitel', ' Tim Roth', ' Michael Madsen |']","['Harvey Keitel', ' Tim Roth', ' Michael Madsen |']","8,3"
86,Inglourious Basterds,https://www.imdb.com//title/tt0361748/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_86,70000000,"In German-occupied France, young Jewish refugee Shosanna Dreyfus witnesses the slaughter of her family by Colonel Hans Landa. Narrowly escaping with her life, she plots her revenge several years later when German war hero Fredrick Zoller takes a rapid interest in her and arranges an illustrious movie premiere at the theater she now runs. With the promise of every major Nazi officer in attendance, the event catches the attention of the ""Basterds"", a group of Jewish-American guerrilla soldiers led by the ruthless Lt. Aldo Raine. As the relentless executioners advance and the conspiring young girl's plans are set in motion, their paths will cross for a fateful evening that will shake the very annals of history.","['Germany', 'USA']",['Quentin Tarantino '],['Quentin Tarantino '],"['Brad Pitt', ' Diane Kruger', ' Eli Roth |']","['Brad Pitt', ' Diane Kruger', ' Eli Roth |']","8,3"
87,Will Hunting,https://www.imdb.com//title/tt0119217/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_87,10000000,"A touching tale of a wayward young man who struggles to find his identity, living in a world where he can solve any problem, except the one brewing deep within himself, until one day he meets his soul mate who opens his mind and his heart.",['USA'],['Gus Van Sant '],"['Matt Damon', ' Ben Affleck ']","['Robin Williams', ' Matt Damon', ' Ben Affleck |']","['Robin Williams', ' Matt Damon', ' Ben Affleck |']","8,3"
88,1917,https://www.imdb.com//title/tt8579674/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_88,95000000,"April 1917, the Western Front. Two British soldiers are sent to deliver an urgent message to an isolated regiment. If the message is not received in time the regiment will walk into a trap and be massacred. To get to the regiment they will need to cross through enemy territory. Time is of the essence and the journey will be fraught with danger.","['USA', 'UK', 'India', 'Spain', 'Canada']",['Sam Mendes '],"['Sam Mendes', ' Krysty Wilson-Cairns ']","['Dean-Charles Chapman', ' George MacKay', ' Daniel Mays |']","['Dean-Charles Chapman', ' George MacKay', ' Daniel Mays |']","8,3"
89,2001: L'odyssée de l'espace,https://www.imdb.com//title/tt0062622/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_89,12000000,"""2001"" is a story of evolution. Sometime in the distant past, someone or something nudged evolution by placing a monolith on Earth (presumably elsewhere throughout the universe as well). Evolution then enabled humankind to reach the moon's surface, where yet another monolith is found, one that signals the monolith placers that humankind has evolved that far. Now a race begins between computers (HAL) and human (Bowman) to reach the monolith placers. The winner will achieve the next step in evolution, whatever that may be.","['UK', 'USA']",['Stanley Kubrick '],"['Stanley Kubrick (screenplay)', ' Arthur C. Clarke (screenplay)    ']","['Keir Dullea', ' Gary Lockwood', ' William Sylvester |']","['Keir Dullea', ' Gary Lockwood', ' William Sylvester |']","8,3"
