,movies_titles,movies_links,budget,synopsis,country,directeur,scenaristes,vedettes,titres,rating
11,Fight Club,https://www.imdb.com//title/tt0137523/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_11,63000000,"A nameless first person narrator (Edward Norton) attends support groups in attempt to subdue his emotional state and relieve his insomniac state. When he meets Marla (Helena Bonham Carter), another fake attendee of support groups, his life seems to become a little more bearable. However when he associates himself with Tyler (Brad Pitt) he is dragged into an underground fight club and soap making scheme. Together the two men spiral out of control and engage in competitive rivalry for love and power. When the narrator is exposed to the hidden agenda of Tyler's fight club, he must accept the awful truth that Tyler may not be who he says he is.","['USA', 'Germany']",['David Fincher '],"['Chuck Palahniuk (novel)', ' Jim Uhls (screenplay)    ']","['Brad Pitt', ' Edward Norton', ' Meat Loaf |']","['Brad Pitt', ' Edward Norton', ' Meat Loaf |']","8,8"
12,Forrest Gump,https://www.imdb.com//title/tt0109830/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_12,55000000,"Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone.",['USA'],['Robert Zemeckis '],"['Winston Groom (novel)', ' Eric Roth (screenplay)    ']","['Tom Hanks', ' Robin Wright', ' Gary Sinise |']","['Tom Hanks', ' Robin Wright', ' Gary Sinise |']","8,7"
13,Inception,https://www.imdb.com//title/tt1375666/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_13,160000000,"Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. Now Cobb is being offered a chance at redemption. One last job could give him his life back but only if he can accomplish the impossible, inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea, but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming.","['USA', 'UK']",['Christopher Nolan '],['Christopher Nolan '],"['Leonardo DiCaprio', ' Joseph Gordon-Levitt', ' Ellen Page |']","['Leonardo DiCaprio', ' Joseph Gordon-Levitt', ' Ellen Page |']","8,7"
14,L'empire contre-attaque,https://www.imdb.com//title/tt0080684/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_14,18000000,"Luke Skywalker, Han Solo, Princess Leia and Chewbacca face attack by the Imperial forces and its AT-AT walkers on the ice planet Hoth. While Han and Leia escape in the Millennium Falcon, Luke travels to Dagobah in search of Yoda. Only with the Jedi Master's help will Luke survive when the Dark Side of the Force beckons him into the ultimate duel with Darth Vader.",['USA'],['Irvin Kershner '],"['Leigh Brackett (screenplay by)', ' Lawrence Kasdan (screenplay by)            |']","['Mark Hamill', ' Harrison Ford', ' Carrie Fisher |']","['Mark Hamill', ' Harrison Ford', ' Carrie Fisher |']","8,7"
15,Le seigneur des anneaux: Les deux tours,https://www.imdb.com//title/tt0167261/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_15,94000000,"The continuing quest of Frodo and the Fellowship to destroy the One Ring. Frodo and Sam discover they are being followed by the mysterious Gollum. Aragorn, the Elf archer Legolas, and Gimli the Dwarf encounter the besieged Rohan kingdom, whose once great King Theoden has fallen under Saruman's deadly spell.",['New Zealand'],['Peter Jackson '],"['J.R.R. Tolkien (novel)', ' Fran Walsh (screenplay)            |']","['Elijah Wood', ' Ian McKellen', ' Viggo Mortensen |']","['Elijah Wood', ' Ian McKellen', ' Viggo Mortensen |']","8,6"
16,Matrix,https://www.imdb.com//title/tt0133093/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_16,63000000,"Thomas A. Anderson is a man living two lives. By day he is an average computer programmer and by night a hacker known as Neo. Neo has always questioned his reality, but the truth is far beyond his imagination. Neo finds himself targeted by the police when he is contacted by Morpheus, a legendary computer hacker branded a terrorist by the government. Morpheus awakens Neo to the real world, a ravaged wasteland where most of humanity have been captured by a race of machines that live off of the humans' body heat and electrochemical energy and who imprison their minds within an artificial reality known as the Matrix. As a rebel against the machines, Neo must return to the Matrix and confront the agents: super-powerful computer programs devoted to snuffing out Neo and the entire human rebellion.",['USA'],"['Lana Wachowski (as The Wachowski Brothers)', ' Lilly Wachowski (as The Wachowski Brothers)    ']","['Lilly Wachowski (as The Wachowski Brothers)', ' Lana Wachowski (as The Wachowski Brothers)    ']","['Keanu Reeves', ' Laurence Fishburne', ' Carrie-Anne Moss |']","['Keanu Reeves', ' Laurence Fishburne', ' Carrie-Anne Moss |']","8,6"
17,Les affranchis,https://www.imdb.com//title/tt0099685/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_17,25000000,"Henry Hill might be a small time gangster, who may have taken part in a robbery with Jimmy Conway and Tommy De Vito, two other gangsters who might have set their sights a bit higher. His two partners could kill off everyone else involved in the robbery, and slowly start to think about climbing up through the hierarchy of the Mob. Henry, however, might be badly affected by his partners' success, but will he consider stooping low enough to bring about the downfall of Jimmy and Tommy?",['USA'],['Martin Scorsese '],"['Nicholas Pileggi (book)', ' Nicholas Pileggi (screenplay)            |']","['Robert De Niro', ' Ray Liotta', ' Joe Pesci |']","['Robert De Niro', ' Ray Liotta', ' Joe Pesci |']","8,6"
18,Vol au-dessus d'un nid de coucou,https://www.imdb.com//title/tt0073486/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_18,3000000,"McMurphy has a criminal past and has once again gotten himself into trouble and is sentenced by the court. To escape labor duties in prison, McMurphy pleads insanity and is sent to a ward for the mentally unstable. Once here, McMurphy both endures and stands witness to the abuse and degradation of the oppressive Nurse Ratched, who gains superiority and power through the flaws of the other inmates. McMurphy and the other inmates band together to make a rebellious stance against the atrocious Nurse.",['USA'],['Milos Forman '],"['Lawrence Hauben (screenplay)', ' Bo Goldman (screenplay)            |']","['Jack Nicholson', ' Louise Fletcher', ' Will Sampson |']","['Jack Nicholson', ' Louise Fletcher', ' Will Sampson |']","8,6"
19,Les sept samouraïs,https://www.imdb.com//title/tt0047478/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_19,125000000,"A veteran samurai, who has fallen on hard times, answers a village's request for protection from bandits. He gathers 6 other samurai to help him, and they teach the townspeople how to defend themselves, and they supply the samurai with three small meals a day. The film culminates in a giant battle when 40 bandits attack the village.",['Japan'],['Akira Kurosawa '],"['Akira Kurosawa (screenplay)', ' Shinobu Hashimoto (screenplay)            |']","['Toshirô Mifune', ' Takashi Shimura', ' Keiko Tsushima |']","['Toshirô Mifune', ' Takashi Shimura', ' Keiko Tsushima |']","8,6"
20,Seven,https://www.imdb.com//title/tt0114369/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_20,33000000,"A film about two homicide detectives' (Morgan Freeman and Brad Pitt) desperate hunt for a serial killer who justifies his crimes as absolution for the world's ignorance of the Seven Deadly Sins. The movie takes us from the tortured remains of one victim to the next as the sociopathic ""John Doe"" (Kevin Spacey) sermonizes to Detectives Somerset and Mills -- one sin at a time. The sin of Gluttony comes first and the murderer's terrible capacity is graphically demonstrated in the dark and subdued tones characteristic of film noir. The seasoned and cultured but jaded Somerset researches the Seven Deadly Sins in an effort to understand the killer's modus operandi while the bright but green and impulsive Detective Mills (Pitt) scoffs at his efforts to get inside the mind of a killer...",['USA'],['David Fincher '],['Andrew Kevin Walker '],"['Morgan Freeman', ' Brad Pitt', ' Kevin Spacey |']","['Morgan Freeman', ' Brad Pitt', ' Kevin Spacey |']","8,6"
21,La vie est belle,https://www.imdb.com//title/tt0118799/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_21,20000000,"In 1930s Italy, a carefree Jewish book keeper named Guido starts a fairy tale life by courting and marrying a lovely woman from a nearby city. Guido and his wife have a son and live happily together until the occupation of Italy by German forces. In an attempt to hold his family together and help his son survive the horrors of a Jewish Concentration Camp, Guido imagines that the Holocaust is a game and that the grand prize for winning is a tank.",['Italy'],['Roberto Benigni '],"['Vincenzo Cerami (story and screenplay by)', ' Roberto Benigni (story and screenplay by)    ']","['Roberto Benigni', ' Nicoletta Braschi', ' Giorgio Cantarini |']","['Roberto Benigni', ' Nicoletta Braschi', ' Giorgio Cantarini |']","8,6"
22,La Cité de Dieu,https://www.imdb.com//title/tt0317248/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_22,3300000,"Brazil, 1960s, City of God. The Tender Trio robs motels and gas trucks. Younger kids watch and learn well...too well. 1970s: Li'l Zé has prospered very well and owns the city. He causes violence and fear as he wipes out rival gangs without mercy. His best friend Bené is the only one to keep him on the good side of sanity. Rocket has watched these two gain power for years, and he wants no part of it. he keeps getting swept up in the madness. All he wants to do is take pictures. 1980s: Things are out of control between the last two remaining gangs...will it ever end? Welcome to the City of God.","['Brazil', 'France', 'Germany']","['Fernando Meirelles', ' Kátia Lund (co-director)    ']","['Paulo Lins (novel)', ' Bráulio Mantovani (screenplay)    ']","['Alexandre Rodrigues', ' Leandro Firmino', ' Matheus Nachtergaele |']","['Alexandre Rodrigues', ' Leandro Firmino', ' Matheus Nachtergaele |']","8,6"
23,Le silence des agneaux,https://www.imdb.com//title/tt0102926/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_23,19000000,"F.B.I. trainee Clarice Starling (Jodie Foster) works hard to advance her career, while trying to hide or put behind her West Virginia roots, of which if some knew, would automatically classify her as being backward or white trash. After graduation, she aspires to work in the agency's Behavioral Science Unit under the leadership of Jack Crawford (Scott Glenn). While she is still a trainee, Crawford asks her to question Dr. Hannibal Lecter (Sir Anthony Hopkins), a psychiatrist imprisoned, thus far, for eight years in maximum security isolation for being a serial killer who cannibalized his victims. Clarice is able to figure out the assignment is to pick Lecter's brains to help them solve another serial murder case, that of someone coined by the media as ""Buffalo Bill"" (Ted Levine), who has so far killed five victims, all located in the eastern U.S., all young women, who are slightly overweight (especially around the hips), all who were drowned in natural bodies of water, and all who ...",['USA'],['Jonathan Demme '],"['Thomas Harris (novel)', ' Ted Tally (screenplay)    ']","['Jodie Foster', ' Anthony Hopkins', ' Lawrence A. Bonney |']","['Jodie Foster', ' Anthony Hopkins', ' Lawrence A. Bonney |']","8,6"
24,La vie est belle,https://www.imdb.com//title/tt0038650/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_24,3180000,"George Bailey has spent his entire life giving of himself to the people of Bedford Falls. He has always longed to travel but never had the opportunity in order to prevent rich skinflint Mr. Potter from taking over the entire town. All that prevents him from doing so is George's modest building and loan company, which was founded by his generous father. But on Christmas Eve, George's Uncle Billy loses the business's $8,000 while intending to deposit it in the bank. Potter finds the misplaced money and hides it from Billy. When the bank examiner discovers the shortage later that night, George realizes that he will be held responsible and sent to jail and the company will collapse, finally allowing Potter to take over the town. Thinking of his wife, their young children, and others he loves will be better off with him dead, he contemplates suicide. But the prayers of his loved ones result in a gentle angel named Clarence coming to earth to help George, with the promise of earning his ...",['USA'],['Frank Capra '],"['Frances Goodrich (screenplay)', ' Albert Hackett (screenplay)            |']","['James Stewart', ' Donna Reed', ' Lionel Barrymore |']","['James Stewart', ' Donna Reed', ' Lionel Barrymore |']","8,6"
25,La guerre des étoiles,https://www.imdb.com//title/tt0076759/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_25,11000000,"The Imperial Forces, under orders from cruel Darth Vader, hold Princess Leia hostage in their efforts to quell the rebellion against the Galactic Empire. Luke Skywalker and Han Solo, captain of the Millennium Falcon, work together with the companionable droid duo R2-D2 and C-3PO to rescue the beautiful princess, help the Rebel Alliance and restore freedom and justice to the Galaxy.",['USA'],['George Lucas '],['George Lucas '],"['Mark Hamill', ' Harrison Ford', ' Carrie Fisher |']","['Mark Hamill', ' Harrison Ford', ' Carrie Fisher |']","8,5"
26,Il faut sauver le soldat Ryan,https://www.imdb.com//title/tt0120815/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_26,70000000,"Opening with the Allied invasion of Normandy on 6 June 1944, members of the 2nd Ranger Battalion under Cpt. Miller fight ashore to secure a beachhead. Amidst the fighting, two brothers are killed in action. Earlier in New Guinea, a third brother is KIA. Their mother, Mrs. Ryan, is to receive all three of the grave telegrams on the same day. The United States Army Chief of Staff, George C. Marshall, is given an opportunity to alleviate some of her grief when he learns of a fourth brother, Private James Ryan, and decides to send out 8 men (Cpt. Miller and select members from 2nd Rangers) to find him and bring him back home to his mother...",['USA'],['Steven Spielberg '],['Robert Rodat '],"['Tom Hanks', ' Matt Damon', ' Tom Sizemore |']","['Tom Hanks', ' Matt Damon', ' Tom Sizemore |']","8,5"
27,Le voyage de Chihiro,https://www.imdb.com//title/tt0245429/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=BYM9MBH4BY14639G8MV0&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_27,19000000,"Chihiro and her parents are moving to a small Japanese town in the countryside, much to Chihiro's dismay. On the way to their new home, Chihiro's father makes a wrong turn and drives down a lonely one-lane road which dead-ends in front of a tunnel. Her parents decide to stop the car and explore the area. They go through the tunnel and find an abandoned amusement park on the other side, with its own little town. When her parents see a restaurant with great-smelling food but no staff, they decide to eat and pay later. However, Chihiro refuses to eat and decides to explore the theme park a bit more. She meets a boy named Haku who tells her that Chihiro and her parents are in danger, and they must leave immediately. She runs to the restaurant and finds that her parents have turned into pigs. In addition, the theme park turns out to be a town inhabited by demons, spirits, and evil gods. At the center of the town is a bathhouse where these creatures go to relax. The owner of the bathhouse ...",['Japan'],['Hayao Miyazaki '],['Hayao Miyazaki '],"['Daveigh Chase', ' Suzanne Pleshette', ' Miyu Irino |']","['Daveigh Chase', ' Suzanne Pleshette', ' Miyu Irino |']","8,5"
